,productName,productLink,productPrice,productInfo
291,Casper,https://www.trendyol.com//casper/excalibur-g870-1245-bva0x-b-intel-core-i5-12450h-16gb-ram-500-gb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672154325?advertItems=eyJhZHZlcnRJZCI6IjhiMWZlYTYwLWMyMGUtNDk3Ny1hZTg3LWJkNDgzNGNkMTllNiIsInNvcnRpbmdTY29yZSI6MC4wNjU0MjQ4MzQzNDA4MTA3OCwiYWRTY29yZSI6MC4wMzkxMjk2ODU2MTA1MzI3NiwiYWRTY29yZXMiOnsiMSI6MC4wMzkxMjk2ODU2MTA1MzI3NiwiMiI6MC4wMzkxMjk2ODU2MTA1MzI3Nn0sImNwYyI6MS42NzIwMDAwMDAwMDAwMDAyLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNTM3MzMwNjcwNTE1MjAzNywiYWR2ZXJ0U2xvdCI6MSwib3JkZXIiOjMsImF0dHJpYnV0ZXMiOiIifQ==,51.999 TL,Excalibur G870.1265-DFA0X-B Intel Core i7-12650H 32GB RAM 1TB NVME SSD GEN4 6GB RTX4050 Freedos
292,Gigabyte,https://www.trendyol.com//gigabyte/g5-kf-e3ee313sd-i5-12500h-16gb-512ssd-rtx4060-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-733943511,31.959 TL,"G5 Kf-e3ee313sd I5-12500h 16gb 512ssd Rtx4060 15.6"" Fullhd Freedos Taşınabilir Bilgisayar"
293,ACER,https://www.trendyol.com//acer/nitro-5-an515-46-amd-ryzen-7-6800h-32-gb-1-tb-ssd-rtx-3070ti-8-gb-freedos-15-6-fhd-144-hz-tasi-p-756652764,35.499 TL,"Nitro 5 AN515-46 Amd Ryzen 7 6800H 32 GB 1 TB SSD RTX 3070Ti 8 GB Freedos 15.6"" FHD 144 Hz Taşı"
294,LENOVO,https://www.trendyol.com//lenovo/yoga-7-intel-core-i7-1355u-16gb-1tb-ssd-win11-home-16-dokunmatik-ikisi-bir-arada-bilgisayar-p-741193918,"34.069,93 TL","Yoga 7 Intel Core I7 1355u 16gb 1tb Ssd Win11 Home 16"" Dokunmatik Ikisi Bir Arada Bilgisayar"
295,Casper,https://www.trendyol.com//casper/excalibur-g870-1265-dfa0x-b-intel-core-i7-12650h-32gb-ram-1tb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672157475?advertItems=eyJhZHZlcnRJZCI6IjljOWNmM2U0LTRjZjQtNGY4ZS04YTRlLTkyZjg2NzQ1MmRkZCIsInNvcnRpbmdTY29yZSI6MC4wNTkzNzI2NzYxMzQxMDk1LCJhZFNjb3JlIjowLjAzNTUwOTk3Mzc2NDQxOTU1NiwiYWRTY29yZXMiOnsiMSI6MC4wMzU1MDk5NzM3NjQ0MTk1NTYsIjIiOjAuMDM1NTA5OTczNzY0NDE5NTU2fSwiY3BjIjoxLjY3MjAwMDAwMDAwMDAwMDIsIm1pbkNwYyI6MC4wMSwiZUNwYyI6MS42MjM0NzEzOTE1MDQ4NTEsImFkdmVydFNsb3QiOjIsIm9yZGVyIjo3LCJhdHRyaWJ1dGVzIjoiIn0=,16.099 TL,"Abra A5 V20.3.2 Intel Core I7 13700h 32 Gb Ram 1 Tb Ssd 6 Gb Rtx 4050 Freedos 15,6"" Fhd 144 Hz"
296,HP,https://www.trendyol.com//hp/7p648ea-victus-16-r0053nt-i5-13500h-16g-ram-6g-4050-512gb-144-hz-16-1-fhd-freedos-gaming-notebook-p-737777568,37.999 TL,7P648EA Victus 16-R0053NT i5-13500H 16G Ram 6G 4050 512GB 144 Hz 16.1 FHD FreeDos Gaming Notebook
297,ASUS,https://www.trendyol.com//asus/x515ea-bq1190-intel-core-i5-1135g7-8gb-512gb-ssd-dos-15-6-fhd-laptop-asus-turkiye-garantili-p-458249190,24.500 TL,X515EA-BQ1190 Intel Core i5-1135G7 8GB 512GB SSD DOS 15.6'' FHD Laptop (ASUS Türkiye Garantili)
298,MSI,https://www.trendyol.com//msi/gf63-thin-11ucx-1623xtr-intel-core-i5-11400h-8gb-512gb-ssd-rtx2050-freedos-15-6-laptop-p-766709934,31.999 TL,"GF63 THIN 11UCX-1623XTR Intel Core i5 11400H 8GB 512GB SSD RTX2050 Freedos 15.6"" LAPTOP"
300,ASUS,https://www.trendyol.com//asus/rog-strix-g15-g513rc-hn194-amd-r7-6800hs-16gb-512gb-ssd-rtx3050-144hz-dos-15-6-fhd-notebook-p-650131722,38.999 TL,Rog Strix G15 G513rc-hn194 Amd R7 6800hs 16gb 512gb Ssd Rtx3050 144hz Dos 15.6 Fhd Notebook
301,Apple,https://www.trendyol.com//apple/macbook-air-m1-cip-16gb-256gb-macos-13-3-qhd-tasinabilir-bilgisayar-uzay-grisi-z124m116256-tq6-p-92881504,28.499 TL,Macbook Air M1 Çip 16gb 256gb Macos 13.3 Qhd Taşınabilir Bilgisayar Uzay Grisi - Z124m116256-tq6
302,Casper,https://www.trendyol.com//casper/g870-1265-dxb0x-b-intel-core-i7-12650h-32gb-ram-2tb-nvme-ssd-8gb-rtx4060-freedos-p-672155829?advertItems=eyJhZHZlcnRJZCI6IjdlMWRjYTQxLTBlNTUtNDFmNS1iZmIwLWFjODg2NTU0MTNjNCIsInNvcnRpbmdTY29yZSI6MC4wNTQyMTE1MzEzNzA4NzgyMjQsImFkU2NvcmUiOjAuMDMyNDIzMTY0Njk1NTAxMzMsImFkU2NvcmVzIjp7IjEiOjAuMDMyNDIzMTY0Njk1NTAxMzMsIjIiOjAuMDMyNDIzMTY0Njk1NTAxMzN9LCJjcGMiOjEuNjcyMDAwMDAwMDAwMDAwMiwibWluQ3BjIjowLjAxLCJlQ3BjIjoxLjQ3MjAxOTUyMzI0MDkwMTcsImFkdmVydFNsb3QiOjQsIm9yZGVyIjoxNCwiYXR0cmlidXRlcyI6IiJ9,29.999 TL,Excalibur G870.1245-BVA0X-B Intel Core i5-12450H 16GB RAM 500 GB NVME SSD GEN4 6GB RTX4050 Freedos
303,HP,https://www.trendyol.com//hp/victus-16-s0023nt-7z4n1ea-8gb-rtx4060-ryzen-5-7640hs-16gb-ram-512gb-ssd-16-1-inc-fhd-144hz-p-739046709,33.999 TL,"G5 MF - i5 12500H –RTX 4050 – 16GB Ram– 512GB -15,6 Ekran Win11 İngilizce Q Klavye"
